,time,pre_total_sheet
2391,2020/5/2-15,1
2392,2020/5/20-0,49
2393,2020/5/20-1,2
2394,2020/5/20-4,7
2395,2020/5/20-10,2
2396,2020/5/20-15,2
2397,2020/5/20-16,25
2398,2020/5/20-17,2
2399,2020/5/20-18,22
2400,2020/5/20-19,19
2401,2020/5/20-20,6
2402,2020/5/20-21,8
2403,2020/5/20-22,11
2404,2020/5/20-23,2
2405,2020/5/21-0,38
2406,2020/5/21-1,2
2407,2020/5/21-5,19
2408,2020/5/21-8,4
2409,2020/5/21-9,4
2410,2020/5/21-10,6
2411,2020/5/21-11,27
2412,2020/5/21-12,15
2413,2020/5/21-15,16
2414,2020/5/21-18,15
2415,2020/5/21-20,21
2416,2020/5/21-21,6
2417,2020/5/21-22,19
2418,2020/5/21-23,5
2419,2020/5/22-0,4
2420,2020/5/22-9,10
2421,2020/5/22-11,3
2422,2020/5/22-12,2
2423,2020/5/22-13,13
2424,2020/5/22-15,11
2425,2020/5/22-17,2
2426,2020/5/22-19,1
2427,2020/5/22-21,3
2428,2020/5/22-23,1
2429,2020/5/23-0,2
2430,2020/5/23-6,4
2431,2020/5/23-10,12
2432,2020/5/23-11,9
2433,2020/5/23-12,1
2434,2020/5/23-13,12
2435,2020/5/23-15,2
2436,2020/5/23-16,5
2437,2020/5/23-17,6
2438,2020/5/23-19,4
2439,2020/5/23-22,3
2440,2020/5/24-10,6
2441,2020/5/24-11,10
2442,2020/5/24-13,11
2443,2020/5/24-16,3
2444,2020/5/24-17,4
2445,2020/5/24-18,10
2446,2020/5/24-19,2
2447,2020/5/24-20,37
2448,2020/5/24-21,6
2449,2020/5/24-23,3
2450,2020/5/25-2,2
2451,2020/5/25-3,3
2452,2020/5/25-4,1
2453,2020/5/25-10,1
2454,2020/5/25-11,3
2455,2020/5/25-12,13
2456,2020/5/25-14,15
2457,2020/5/25-15,7
2458,2020/5/25-16,19
2459,2020/5/25-17,15
2460,2020/5/25-18,16
2461,2020/5/25-19,2
2462,2020/5/25-21,16
2463,2020/5/25-22,17
2464,2020/5/26-0,2
2465,2020/5/26-1,3
2466,2020/5/26-3,1
2467,2020/5/26-8,2
2468,2020/5/26-9,2
2469,2020/5/26-10,1
2470,2020/5/26-11,2
2471,2020/5/26-12,7
2472,2020/5/26-13,18
2473,2020/5/26-14,15
2474,2020/5/26-15,8
2475,2020/5/26-17,15
2476,2020/5/26-19,5
2477,2020/5/26-20,29
2478,2020/5/26-21,3
2479,2020/5/26-22,7
2480,2020/5/27-6,3
2481,2020/5/27-9,28
2482,2020/5/27-14,0
2483,2020/5/27-15,1
2484,2020/5/27-16,14
2485,2020/5/27-18,2
2486,2020/5/27-19,6
2487,2020/5/27-20,6
2488,2020/5/27-21,5
2489,2020/5/27-22,5
2490,2020/5/27-23,43
2491,2020/5/28-1,21
2492,2020/5/28-2,1
2493,2020/5/28-5,3
2494,2020/5/28-6,1
2495,2020/5/28-9,1
2496,2020/5/28-10,1
2497,2020/5/28-11,6
2498,2020/5/28-12,6
2499,2020/5/28-13,25
2500,2020/5/28-14,33
2501,2020/5/28-15,1
2502,2020/5/28-16,20
2503,2020/5/28-17,60
2504,2020/5/28-18,1
2505,2020/5/28-19,1
2506,2020/5/28-20,11
2507,2020/5/28-21,4
2508,2020/5/28-22,24
2509,2020/5/28-23,2
2510,2020/5/29-0,3
2511,2020/5/29-1,4
2512,2020/5/29-3,3
2513,2020/5/29-5,3
2514,2020/5/29-6,5
2515,2020/5/29-7,1
2516,2020/5/29-8,1
2517,2020/5/29-9,4
2518,2020/5/29-10,5
2519,2020/5/29-11,3
2520,2020/5/29-12,3
2521,2020/5/29-13,7
2522,2020/5/29-15,2
2523,2020/5/29-16,12
2524,2020/5/29-17,30
2525,2020/5/29-18,12
2526,2020/5/29-19,14
2527,2020/5/29-20,4
2528,2020/5/29-21,9
2529,2020/5/29-22,3
2530,2020/5/29-23,4
2531,2020/5/3-14,3
2532,2020/5/3-16,19
2533,2020/5/3-17,38
2534,2020/5/3-19,70
2535,2020/5/3-20,127
2536,2020/5/3-21,1
2537,2020/5/3-22,51
2538,2020/5/30-0,1
2539,2020/5/30-1,12
2540,2020/5/30-2,3
2541,2020/5/30-3,1
2542,2020/5/30-6,5
2543,2020/5/30-7,1
2544,2020/5/30-10,1
2545,2020/5/30-11,11
2546,2020/5/30-12,9
2547,2020/5/30-13,2
2548,2020/5/30-14,8
2549,2020/5/30-15,16
2550,2020/5/30-16,7
2551,2020/5/30-17,29
2552,2020/5/30-18,16
2553,2020/5/30-19,12
2554,2020/5/30-20,26
2555,2020/5/30-21,33
2556,2020/5/30-22,2
2557,2020/5/30-23,1
2558,2020/5/31-0,2
2559,2020/5/31-1,1
2560,2020/5/31-2,1
2561,2020/5/31-3,3
2562,2020/5/31-4,1
2563,2020/5/31-5,1
2564,2020/5/31-6,2
2565,2020/5/31-9,7
2566,2020/5/31-10,5
2567,2020/5/31-11,6
2568,2020/5/31-12,19
2569,2020/5/31-13,5
2570,2020/5/31-14,6
2571,2020/5/31-15,19
2572,2020/5/31-16,1
2573,2020/5/31-17,21
2574,2020/5/31-18,59
2575,2020/5/31-19,14
2576,2020/5/31-20,31
2577,2020/5/31-21,7
2578,2020/5/31-22,2
2579,2020/5/31-23,2
2580,2020/5/4-13,26
2581,2020/5/4-14,17
2582,2020/5/4-15,16
2583,2020/5/4-16,14
2584,2020/5/4-18,82
2585,2020/5/5-0,22
2586,2020/5/5-9,2
2587,2020/5/5-10,30
2588,2020/5/5-11,4
2589,2020/5/5-14,9
2590,2020/5/5-15,6
2591,2020/5/5-17,2
2592,2020/5/5-20,19
2593,2020/5/6-0,19
2594,2020/5/6-8,2
2595,2020/5/6-9,31
2596,2020/5/6-15,2
2597,2020/5/6-16,21
2598,2020/5/6-18,5
2599,2020/5/6-19,4
2600,2020/5/6-20,7
2601,2020/5/7-4,7
2602,2020/5/7-7,11
2603,2020/5/7-10,4
2604,2020/5/7-11,30
2605,2020/5/7-12,3
2606,2020/5/7-14,5
2607,2020/5/7-15,1
2608,2020/5/7-16,4
2609,2020/5/7-18,2
2610,2020/5/7-19,4
2611,2020/5/7-20,41
2612,2020/5/7-23,7
2613,2020/5/8-6,2
2614,2020/5/8-8,2
2615,2020/5/8-16,2
2616,2020/5/8-17,5
2617,2020/5/8-18,70
2618,2020/5/8-19,1
2619,2020/5/8-20,6
2620,2020/5/8-22,2
2621,2020/5/8-23,14
2622,2020/5/9-0,4
2623,2020/5/9-1,4
2624,2020/5/9-2,23
2625,2020/5/9-10,4
2626,2020/5/9-11,7
2627,2020/5/9-12,9
2628,2020/5/9-16,14
2629,2020/5/9-17,1
2630,2020/5/9-19,8
2631,2020/5/9-20,4
2632,2020/5/9-22,6
2633,2020/6/1-0,25
2634,2020/6/1-4,1
2635,2020/6/1-5,6
2636,2020/6/1-6,4
2637,2020/6/1-9,1
2638,2020/6/1-10,4
2639,2020/6/1-11,10
2640,2020/6/1-12,3
2641,2020/6/1-13,2
2642,2020/6/1-14,5
2643,2020/6/1-15,6
2644,2020/6/1-16,2
2645,2020/6/1-17,10
2646,2020/6/1-18,13
2647,2020/6/1-19,17
2648,2020/6/1-20,31
2649,2020/6/1-21,4
2650,2020/6/1-22,3
2651,2020/6/1-23,1
2652,2020/6/10-5,1
2653,2020/6/10-6,2
2654,2020/6/10-7,6
2655,2020/6/10-8,3
2656,2020/6/10-9,5
2657,2020/6/10-10,10
2658,2020/6/10-11,67
2659,2020/6/10-12,2
2660,2020/6/10-13,2
2661,2020/6/10-14,2
2662,2020/6/10-15,3
2663,2020/6/10-17,4
2664,2020/6/10-18,3
2665,2020/6/10-19,28
2666,2020/6/10-20,5
2667,2020/6/10-21,1
2668,2020/6/10-22,4
2669,2020/6/10-23,12
2670,2020/6/11-0,1
2671,2020/6/11-1,3
2672,2020/6/11-3,1
2673,2020/6/11-7,1
2674,2020/6/11-8,1
2675,2020/6/11-9,6
2676,2020/6/11-10,7
2677,2020/6/11-11,6
2678,2020/6/11-12,4
2679,2020/6/11-13,9
2680,2020/6/11-14,14
2681,2020/6/11-15,4
2682,2020/6/11-16,15
2683,2020/6/11-17,1
2684,2020/6/11-19,24
2685,2020/6/11-21,4
2686,2020/6/11-23,1
2687,2020/6/12-1,1
2688,2020/6/12-2,1
2689,2020/6/12-5,2
2690,2020/6/12-6,1
2691,2020/6/12-7,1
2692,2020/6/12-9,6
2693,2020/6/12-10,4
2694,2020/6/12-11,10
2695,2020/6/12-12,5
2696,2020/6/12-13,18
2697,2020/6/12-14,9
2698,2020/6/12-15,15
2699,2020/6/12-16,5
2700,2020/6/12-17,2
2701,2020/6/12-18,2
2702,2020/6/12-19,3
2703,2020/6/12-21,1
2704,2020/6/12-22,1
2705,2020/6/12-23,4
2706,2020/6/13-0,1
2707,2020/6/13-1,2
2708,2020/6/13-2,7
2709,2020/6/13-3,15
2710,2020/6/13-4,1
2711,2020/6/13-5,3
2712,2020/6/13-6,2
2713,2020/6/13-7,4
2714,2020/6/13-8,2
2715,2020/6/13-9,9
2716,2020/6/13-10,4
2717,2020/6/13-11,16
2718,2020/6/13-12,3
2719,2020/6/13-13,14
2720,2020/6/13-14,3
2721,2020/6/13-15,3
2722,2020/6/13-16,4
2723,2020/6/13-17,9
2724,2020/6/13-18,2
2725,2020/6/13-19,1
2726,2020/6/13-20,15
2727,2020/6/13-21,3
2728,2020/6/13-22,6
2729,2020/6/13-23,33
2730,2020/6/14-1,1
2731,2020/6/14-4,1
2732,2020/6/14-5,3
2733,2020/6/14-6,1
2734,2020/6/14-7,2
2735,2020/6/14-9,1
2736,2020/6/14-10,4
2737,2020/6/14-11,13
2738,2020/6/14-12,22
2739,2020/6/14-13,2
2740,2020/6/14-14,1
2741,2020/6/14-15,15
2742,2020/6/14-16,2
2743,2020/6/14-17,19
2744,2020/6/14-18,3
2745,2020/6/14-19,3
2746,2020/6/14-20,1
2747,2020/6/14-21,1
2748,2020/6/14-22,4
2749,2020/6/15-0,1
2750,2020/6/15-1,5
2751,2020/6/15-5,1
2752,2020/6/15-6,1
2753,2020/6/15-7,2
2754,2020/6/15-10,4
2755,2020/6/15-11,30
2756,2020/6/15-12,1
2757,2020/6/15-13,1
2758,2020/6/15-15,2
2759,2020/6/15-16,7
2760,2020/6/15-17,2
2761,2020/6/15-18,2
2762,2020/6/15-19,10
2763,2020/6/15-20,2
2764,2020/6/15-22,11
2765,2020/6/15-23,5
2766,2020/6/16-0,3
2767,2020/6/16-1,8
2768,2020/6/16-2,5
2769,2020/6/16-5,3
2770,2020/6/16-9,4
2771,2020/6/16-10,8
2772,2020/6/16-11,14
2773,2020/6/16-12,2
2774,2020/6/16-13,2
2775,2020/6/16-14,5
2776,2020/6/16-15,21
2777,2020/6/16-16,16
2778,2020/6/16-18,13
2779,2020/6/16-19,2
2780,2020/6/16-20,2
2781,2020/6/16-21,5
2782,2020/6/16-23,2
2783,2020/6/17-0,1
2784,2020/6/17-2,1
2785,2020/6/17-6,2
2786,2020/6/17-7,1
2787,2020/6/17-8,2
2788,2020/6/17-9,1
2789,2020/6/17-10,9
2790,2020/6/17-11,4
2791,2020/6/17-12,1
2792,2020/6/17-13,1
2793,2020/6/17-14,3
2794,2020/6/17-15,5
2795,2020/6/17-16,2
2796,2020/6/17-17,11
2797,2020/6/17-18,7
2798,2020/6/17-19,3
2799,2020/6/17-20,22
2800,2020/6/17-21,1
2801,2020/6/17-23,2
2802,2020/6/18-1,1
2803,2020/6/18-4,1
2804,2020/6/18-6,3
2805,2020/6/18-7,1
2806,2020/6/18-8,2
2807,2020/6/18-9,3
2808,2020/6/18-10,6
2809,2020/6/18-11,3
2810,2020/6/18-12,20
2811,2020/6/18-13,6
2812,2020/6/18-14,17
2813,2020/6/18-15,1
2814,2020/6/18-16,2
2815,2020/6/18-17,5
2816,2020/6/18-18,3
2817,2020/6/18-19,11
2818,2020/6/18-20,1
2819,2020/6/18-21,7
2820,2020/6/18-22,19
2821,2020/6/18-23,1
2822,2020/6/19-1,1
2823,2020/6/19-7,3
2824,2020/6/19-9,5
2825,2020/6/19-10,5
2826,2020/6/19-11,9
2827,2020/6/19-12,2
2828,2020/6/19-13,2
2829,2020/6/19-14,1
2830,2020/6/19-15,1
2831,2020/6/19-16,2
2832,2020/6/19-17,24
2833,2020/6/19-18,59
2834,2020/6/19-19,3
2835,2020/6/19-20,5
2836,2020/6/19-21,1
2837,2020/6/19-22,10
2838,2020/6/19-23,2
2839,2020/6/2-0,3
2840,2020/6/2-2,2
2841,2020/6/2-4,1
2842,2020/6/2-5,3
2843,2020/6/2-6,4
2844,2020/6/2-8,1
2845,2020/6/2-9,3
2846,2020/6/2-10,5
2847,2020/6/2-11,6
2848,2020/6/2-12,26
2849,2020/6/2-13,4
2850,2020/6/2-14,2
2851,2020/6/2-15,8
2852,2020/6/2-16,2
2853,2020/6/2-17,2
2854,2020/6/2-18,5
2855,2020/6/2-19,11
2856,2020/6/2-20,3
2857,2020/6/2-22,9
2858,2020/6/2-23,1
2859,2020/6/20-0,2
2860,2020/6/20-3,2
2861,2020/6/20-5,2
2862,2020/6/20-9,2
2863,2020/6/20-10,5
2864,2020/6/20-11,9
2865,2020/6/20-12,9
2866,2020/6/20-13,1
2867,2020/6/20-15,2
2868,2020/6/20-16,3
2869,2020/6/20-17,9
2870,2020/6/20-18,4
2871,2020/6/20-19,5
2872,2020/6/20-20,2
2873,2020/6/20-22,2
2874,2020/6/20-23,3
2875,2020/6/21-0,2
2876,2020/6/21-5,4
2877,2020/6/21-6,2
2878,2020/6/21-9,6
2879,2020/6/21-10,1
2880,2020/6/21-11,4
2881,2020/6/21-12,8
2882,2020/6/21-14,7
2883,2020/6/21-15,3
2884,2020/6/21-16,11
2885,2020/6/21-17,4
2886,2020/6/21-18,15
2887,2020/6/21-19,4
2888,2020/6/21-20,3
2889,2020/6/21-21,1
2890,2020/6/21-23,5
2891,2020/6/22-5,1
2892,2020/6/22-6,4
2893,2020/6/22-8,2
2894,2020/6/22-9,2
2895,2020/6/22-10,7
2896,2020/6/22-11,9
2897,2020/6/22-12,5
2898,2020/6/22-13,4
2899,2020/6/22-15,5
2900,2020/6/22-16,1
2901,2020/6/22-17,4
2902,2020/6/22-18,8
2903,2020/6/22-19,5
2904,2020/6/22-20,2
2905,2020/6/22-21,4
2906,2020/6/22-22,6
2907,2020/6/22-23,2
2908,2020/6/23-2,1
2909,2020/6/23-3,1
2910,2020/6/23-4,1
2911,2020/6/23-6,3
2912,2020/6/23-7,1
2913,2020/6/23-8,4
2914,2020/6/23-9,1
2915,2020/6/23-10,3
2916,2020/6/23-11,13
2917,2020/6/23-12,2
2918,2020/6/23-13,16
2919,2020/6/23-14,2
2920,2020/6/23-15,2
2921,2020/6/23-16,12
2922,2020/6/23-17,3
2923,2020/6/23-18,6
2924,2020/6/23-19,12
2925,2020/6/23-20,20
2926,2020/6/23-21,3
2927,2020/6/23-22,39
2928,2020/6/23-23,1
2929,2020/6/24-0,1
2930,2020/6/24-1,2
2931,2020/6/24-3,1
2932,2020/6/24-5,3
2933,2020/6/24-7,1
2934,2020/6/24-9,3
2935,2020/6/24-10,5
2936,2020/6/24-11,4
2937,2020/6/24-12,4
2938,2020/6/24-13,10
2939,2020/6/24-14,4
2940,2020/6/24-15,19
2941,2020/6/24-16,15
2942,2020/6/24-17,3
2943,2020/6/24-18,1
2944,2020/6/24-19,2
2945,2020/6/24-20,3
2946,2020/6/24-21,8
2947,2020/6/24-22,6
2948,2020/6/24-23,1
2949,2020/6/25-0,2
2950,2020/6/25-2,1
2951,2020/6/25-5,1
2952,2020/6/25-7,3
2953,2020/6/25-8,1
2954,2020/6/25-9,8
2955,2020/6/25-10,3
2956,2020/6/25-11,5
2957,2020/6/25-12,5
2958,2020/6/25-13,4
2959,2020/6/25-14,7
2960,2020/6/25-15,3
2961,2020/6/25-16,24
2962,2020/6/25-17,1
2963,2020/6/25-19,3
2964,2020/6/25-20,1
2965,2020/6/25-21,1
2966,2020/6/25-22,1
2967,2020/6/25-23,6
2968,2020/6/26-0,23
2969,2020/6/26-1,2
2970,2020/6/26-2,1
2971,2020/6/26-3,1
2972,2020/6/26-5,1
2973,2020/6/26-6,4
2974,2020/6/26-7,5
2975,2020/6/26-8,1
2976,2020/6/26-9,1
2977,2020/6/26-10,8
2978,2020/6/26-11,4
2979,2020/6/26-12,11
2980,2020/6/26-13,11
2981,2020/6/26-14,2
2982,2020/6/26-15,12
2983,2020/6/26-16,11
2984,2020/6/26-17,6
2985,2020/6/26-18,4
2986,2020/6/26-19,5
2987,2020/6/26-20,3
2988,2020/6/26-21,2
2989,2020/6/26-22,1
2990,2020/6/26-23,5
2991,2020/6/27-0,23
2992,2020/6/27-1,2
2993,2020/6/27-3,10
2994,2020/6/27-7,2
2995,2020/6/27-8,3
2996,2020/6/27-9,2
2997,2020/6/27-11,3
2998,2020/6/27-12,5
2999,2020/6/27-13,27
3000,2020/6/27-14,13
3001,2020/6/27-15,1
3002,2020/6/27-16,46
3003,2020/6/27-18,2
3004,2020/6/27-19,2
3005,2020/6/27-20,3
3006,2020/6/27-21,3
3007,2020/6/27-22,22
3008,2020/6/28-0,1
3009,2020/6/28-1,1
3010,2020/6/28-2,2
3011,2020/6/28-3,1
3012,2020/6/28-4,3
3013,2020/6/28-5,2
3014,2020/6/28-6,2
3015,2020/6/28-10,5
3016,2020/6/28-11,4
3017,2020/6/28-12,5
3018,2020/6/28-13,2
3019,2020/6/28-14,4
3020,2020/6/28-15,2
3021,2020/6/28-16,11
3022,2020/6/28-17,2
3023,2020/6/28-18,2
3024,2020/6/28-19,3
3025,2020/6/28-20,2
3026,2020/6/28-21,1
3027,2020/6/28-22,1
3028,2020/6/28-23,1
3029,2020/6/29-1,3
3030,2020/6/29-5,1
3031,2020/6/29-6,4
3032,2020/6/29-7,1
3033,2020/6/29-8,1
3034,2020/6/29-9,1
3035,2020/6/29-10,7
3036,2020/6/29-11,2
3037,2020/6/29-12,10
3038,2020/6/29-13,7
3039,2020/6/29-14,2
3040,2020/6/29-17,3
3041,2020/6/29-19,6
3042,2020/6/29-20,2
3043,2020/6/29-21,1
3044,2020/6/29-22,1
3045,2020/6/29-23,2
3046,2020/6/3-0,1
3047,2020/6/3-1,12
3048,2020/6/3-2,4
3049,2020/6/3-7,3
3050,2020/6/3-8,3
3051,2020/6/3-9,3
3052,2020/6/3-10,5
3053,2020/6/3-11,26
3054,2020/6/3-12,6
3055,2020/6/3-14,3
3056,2020/6/3-15,3
3057,2020/6/3-16,3
3058,2020/6/3-17,7
3059,2020/6/3-18,8
3060,2020/6/3-20,20
3061,2020/6/3-21,13
3062,2020/6/3-23,1
3063,2020/6/30-0,4
3064,2020/6/30-1,12
3065,2020/6/30-5,3
3066,2020/6/30-6,1
3067,2020/6/30-7,1
3068,2020/6/30-8,1
3069,2020/6/30-10,14
3070,2020/6/30-11,7
3071,2020/6/30-12,35
3072,2020/6/30-13,10
3073,2020/6/30-15,2
3074,2020/6/30-17,7
3075,2020/6/30-18,13
3076,2020/6/30-19,11
3077,2020/6/30-20,2
3078,2020/6/30-22,1
3079,2020/6/30-23,38
3080,2020/6/4-2,1
3081,2020/6/4-8,2
3082,2020/6/4-9,1
3083,2020/6/4-10,5
3084,2020/6/4-11,2
3085,2020/6/4-12,9
3086,2020/6/4-13,1
3087,2020/6/4-14,34
3088,2020/6/4-15,2
3089,2020/6/4-16,29
3090,2020/6/4-17,2
3091,2020/6/4-18,10
3092,2020/6/4-19,10
3093,2020/6/4-20,3
3094,2020/6/4-21,3
3095,2020/6/4-22,1
3096,2020/6/5-1,1
3097,2020/6/5-2,1
3098,2020/6/5-3,2
3099,2020/6/5-4,2
3100,2020/6/5-5,1
3101,2020/6/5-8,1
3102,2020/6/5-9,2
3103,2020/6/5-11,8
3104,2020/6/5-13,38
3105,2020/6/5-14,27
3106,2020/6/5-15,3
3107,2020/6/5-16,5
3108,2020/6/5-17,2
3109,2020/6/5-18,7
3110,2020/6/5-19,6
3111,2020/6/5-20,4
3112,2020/6/5-21,1
3113,2020/6/5-22,2
3114,2020/6/5-23,24
3115,2020/6/6-0,3
3116,2020/6/6-1,1
3117,2020/6/6-3,1
3118,2020/6/6-4,3
3119,2020/6/6-5,2
3120,2020/6/6-6,2
3121,2020/6/6-9,1
3122,2020/6/6-10,13
3123,2020/6/6-11,5
3124,2020/6/6-12,3
3125,2020/6/6-13,6
3126,2020/6/6-14,2
3127,2020/6/6-15,4
3128,2020/6/6-16,3
3129,2020/6/6-17,3
3130,2020/6/6-18,8
3131,2020/6/6-19,1
3132,2020/6/6-20,10
3133,2020/6/6-21,5
3134,2020/6/6-22,1
3135,2020/6/6-23,18
3136,2020/6/7-0,1
3137,2020/6/7-2,19
3138,2020/6/7-3,5
3139,2020/6/7-4,2
3140,2020/6/7-5,6
3141,2020/6/7-7,2
3142,2020/6/7-9,9
3143,2020/6/7-10,35
3144,2020/6/7-11,5
3145,2020/6/7-13,5
3146,2020/6/7-14,4
3147,2020/6/7-16,13
3148,2020/6/7-17,7
3149,2020/6/7-18,10
3150,2020/6/7-19,1
3151,2020/6/7-20,5
3152,2020/6/7-21,18
3153,2020/6/8-1,1
3154,2020/6/8-2,2
3155,2020/6/8-4,1
3156,2020/6/8-6,7
3157,2020/6/8-7,4
3158,2020/6/8-8,2
3159,2020/6/8-9,5
3160,2020/6/8-10,2
3161,2020/6/8-11,55
3162,2020/6/8-12,22
3163,2020/6/8-13,6
3164,2020/6/8-14,2
3165,2020/6/8-15,2
3166,2020/6/8-16,5
3167,2020/6/8-17,29
3168,2020/6/8-18,31
3169,2020/6/8-19,16
3170,2020/6/8-20,9
3171,2020/6/8-21,29
3172,2020/6/8-22,13
3173,2020/6/8-23,1
3174,2020/6/9-0,1
3175,2020/6/9-3,1
3176,2020/6/9-6,1
3177,2020/6/9-8,1
3178,2020/6/9-9,3
3179,2020/6/9-10,1
3180,2020/6/9-11,5
3181,2020/6/9-12,6
3182,2020/6/9-13,2
3183,2020/6/9-15,18
3184,2020/6/9-16,11
3185,2020/6/9-17,2
3186,2020/6/9-18,5
3187,2020/6/9-20,3
3188,2020/6/9-21,2
3189,2020/6/9-22,20
3190,2020/6/9-23,3
3191,2020/7/1-2,1
3192,2020/7/1-5,1
3193,2020/7/1-6,4
3194,2020/7/1-8,1
3195,2020/7/1-9,7
3196,2020/7/1-10,6
3197,2020/7/1-11,4
3198,2020/7/1-12,11
3199,2020/7/1-14,7
3200,2020/7/1-15,3
3201,2020/7/1-16,7
3202,2020/7/1-17,1
3203,2020/7/1-18,1
3204,2020/7/1-19,6
3205,2020/7/1-20,1
3206,2020/7/1-21,26
3207,2020/7/1-22,1
3208,2020/7/1-23,26
3209,2020/7/10-0,20
3210,2020/7/10-1,1
3211,2020/7/10-4,1
3212,2020/7/10-5,2
3213,2020/7/10-6,1
3214,2020/7/10-7,1
3215,2020/7/10-8,1
3216,2020/7/10-9,1
3217,2020/7/10-10,19
3218,2020/7/10-11,2
3219,2020/7/10-12,1
3220,2020/7/10-13,5
3221,2020/7/10-14,1
3222,2020/7/10-15,2
3223,2020/7/10-16,5
3224,2020/7/10-17,1
3225,2020/7/10-18,2
3226,2020/7/10-19,5
3227,2020/7/10-20,13
3228,2020/7/10-21,2
3229,2020/7/10-23,2
3230,2020/7/11-0,1
3231,2020/7/11-1,2
3232,2020/7/11-2,1
3233,2020/7/11-4,1
3234,2020/7/11-5,3
3235,2020/7/11-6,1
3236,2020/7/11-7,3
3237,2020/7/11-8,2
3238,2020/7/11-9,10
3239,2020/7/11-10,4
3240,2020/7/11-11,3
3241,2020/7/11-12,3
3242,2020/7/11-13,1
3243,2020/7/11-14,3
3244,2020/7/11-15,10
3245,2020/7/11-17,16
3246,2020/7/11-18,13
3247,2020/7/11-19,3
3248,2020/7/11-20,1
3249,2020/7/11-21,4
3250,2020/7/11-23,3
3251,2020/7/12-0,1
3252,2020/7/12-2,3
3253,2020/7/12-4,1
3254,2020/7/12-6,2
3255,2020/7/12-7,2
3256,2020/7/12-8,3
3257,2020/7/12-9,1
3258,2020/7/12-10,3
3259,2020/7/12-11,1
3260,2020/7/12-12,40
3261,2020/7/12-13,1
3262,2020/7/12-14,9
3263,2020/7/12-15,4
3264,2020/7/12-16,15
3265,2020/7/12-17,10
3266,2020/7/12-18,2
3267,2020/7/12-19,2
3268,2020/7/12-21,3
3269,2020/7/13-0,2
3270,2020/7/13-1,2
3271,2020/7/13-3,1
3272,2020/7/13-4,2
3273,2020/7/13-6,3
3274,2020/7/13-7,2
3275,2020/7/13-8,7
3276,2020/7/13-9,4
3277,2020/7/13-10,8
3278,2020/7/13-11,16
3279,2020/7/13-12,8
3280,2020/7/13-13,5
3281,2020/7/13-14,4
3282,2020/7/13-15,8
3283,2020/7/13-16,9
3284,2020/7/13-17,28
3285,2020/7/13-18,16
3286,2020/7/13-19,9
3287,2020/7/13-20,5
3288,2020/7/13-21,6
3289,2020/7/13-22,2
3290,2020/7/13-23,6
3291,2020/7/14-0,17
3292,2020/7/14-1,10
3293,2020/7/14-3,1
3294,2020/7/14-4,3
3295,2020/7/14-5,2
3296,2020/7/14-6,3
3297,2020/7/14-7,3
3298,2020/7/14-9,8
3299,2020/7/14-10,10
3300,2020/7/14-11,11
3301,2020/7/14-12,8
3302,2020/7/14-13,3
3303,2020/7/14-14,23
3304,2020/7/14-15,10
3305,2020/7/14-16,33
3306,2020/7/14-17,33
3307,2020/7/14-18,4
3308,2020/7/14-19,33
3309,2020/7/14-20,10
3310,2020/7/14-21,5
3311,2020/7/14-22,8
3312,2020/7/15-0,1
3313,2020/7/15-1,9
3314,2020/7/15-4,2
3315,2020/7/15-6,1
3316,2020/7/15-8,3
3317,2020/7/15-9,12
3318,2020/7/15-10,8
3319,2020/7/15-11,7
3320,2020/7/15-12,5
3321,2020/7/15-13,16
3322,2020/7/15-14,12
3323,2020/7/15-15,32
3324,2020/7/15-16,6
3325,2020/7/15-17,9
3326,2020/7/15-18,16
3327,2020/7/15-19,25
3328,2020/7/15-20,15
3329,2020/7/15-21,15
3330,2020/7/15-22,8
3331,2020/7/15-23,7
3332,2020/7/16-0,1
3333,2020/7/16-1,3
3334,2020/7/16-2,2
3335,2020/7/16-3,2
3336,2020/7/16-4,1
3337,2020/7/16-5,6
3338,2020/7/16-6,1
3339,2020/7/16-9,3
3340,2020/7/16-10,35
3341,2020/7/16-11,17
3342,2020/7/16-12,7
3343,2020/7/16-13,6
3344,2020/7/16-14,9
3345,2020/7/16-15,6
3346,2020/7/16-16,7
3347,2020/7/16-17,3
3348,2020/7/16-18,10
3349,2020/7/16-19,10
3350,2020/7/16-20,5
3351,2020/7/16-21,5
3352,2020/7/16-22,5
3353,2020/7/16-23,4
3354,2020/7/17-0,1
3355,2020/7/17-1,24
3356,2020/7/17-2,1
3357,2020/7/17-3,3
3358,2020/7/17-4,2
3359,2020/7/17-5,10
3360,2020/7/17-6,3
3361,2020/7/17-7,1
3362,2020/7/17-8,1
3363,2020/7/17-9,26
3364,2020/7/17-10,9
3365,2020/7/17-11,16
3366,2020/7/17-12,9
3367,2020/7/17-13,6
3368,2020/7/17-14,49
3369,2020/7/17-15,9
3370,2020/7/17-16,18
3371,2020/7/17-17,14
3372,2020/7/17-18,15
3373,2020/7/17-19,39
3374,2020/7/17-20,14
3375,2020/7/17-21,5
3376,2020/7/17-22,10
3377,2020/7/17-23,4
3378,2020/7/18-0,1
3379,2020/7/18-1,4
3380,2020/7/18-2,9
3381,2020/7/18-3,5
3382,2020/7/18-4,1
3383,2020/7/18-5,3
3384,2020/7/18-6,8
3385,2020/7/18-7,4
3386,2020/7/18-8,4
3387,2020/7/18-9,5
3388,2020/7/18-10,8
3389,2020/7/18-11,10
