,time,pre_total_sheet
245,2020/10/2-23,3
246,2020/10/20-0,32
247,2020/10/20-1,7
248,2020/10/20-2,2
249,2020/10/20-3,18
250,2020/10/20-4,5
251,2020/10/20-5,17
252,2020/10/20-6,9
253,2020/10/20-7,2
254,2020/10/20-8,14
255,2020/10/20-9,12
256,2020/10/20-10,6
257,2020/10/20-11,19
258,2020/10/20-12,32
259,2020/10/20-13,15
260,2020/10/20-14,29
261,2020/10/20-15,5
262,2020/10/20-16,34
263,2020/10/20-17,8
264,2020/10/20-18,44
265,2020/10/20-19,44
266,2020/10/20-20,23
267,2020/10/20-21,9
268,2020/10/20-22,8
269,2020/10/20-23,4
270,2020/10/21-0,5
271,2020/10/21-1,1
272,2020/10/21-2,7
273,2020/10/21-3,3
274,2020/10/21-4,2
275,2020/10/21-5,6
276,2020/10/21-6,14
277,2020/10/21-7,1
278,2020/10/21-8,3
279,2020/10/21-9,4
280,2020/10/21-10,8
281,2020/10/21-11,21
282,2020/10/21-12,21
283,2020/10/21-13,47
284,2020/10/21-14,14
285,2020/10/21-15,4
286,2020/10/21-16,22
287,2020/10/21-17,4
288,2020/10/21-18,26
289,2020/10/21-19,28
290,2020/10/21-20,41
291,2020/10/21-21,6
292,2020/10/21-22,13
293,2020/10/21-23,2
294,2020/10/22-0,6
295,2020/10/22-1,3
296,2020/10/22-2,7
297,2020/10/22-3,16
298,2020/10/22-4,5
299,2020/10/22-5,1
300,2020/10/22-6,1
301,2020/10/22-7,4
302,2020/10/22-9,12
303,2020/10/22-10,25
304,2020/10/22-11,11
305,2020/10/22-12,21
306,2020/10/22-13,25
307,2020/10/22-14,5
308,2020/10/22-15,14
309,2020/10/22-16,17
310,2020/10/22-17,17
311,2020/10/22-18,63
312,2020/10/22-19,80
313,2020/10/22-20,4
314,2020/10/22-21,17
315,2020/10/22-22,4
316,2020/10/22-23,4
317,2020/10/23-0,10
318,2020/10/23-1,19
319,2020/10/23-2,2
320,2020/10/23-3,1
321,2020/10/23-4,1
322,2020/10/23-7,3
323,2020/10/23-8,3
324,2020/10/23-9,9
325,2020/10/23-10,3
326,2020/10/23-11,17
327,2020/10/23-12,17
328,2020/10/23-13,24
329,2020/10/23-14,11
330,2020/10/23-15,19
331,2020/10/23-16,21
332,2020/10/23-17,31
333,2020/10/23-18,14
334,2020/10/23-19,9
335,2020/10/23-20,5
336,2020/10/23-21,7
337,2020/10/23-22,3
338,2020/10/23-23,11
339,2020/10/24-0,5
340,2020/10/24-1,6
341,2020/10/24-3,4
342,2020/10/24-4,4
343,2020/10/24-5,1
344,2020/10/24-6,3
345,2020/10/24-8,13
346,2020/10/24-9,32
347,2020/10/24-10,22
348,2020/10/24-11,10
349,2020/10/24-12,13
350,2020/10/24-13,14
351,2020/10/24-14,10
352,2020/10/24-15,13
353,2020/10/24-16,21
354,2020/10/24-17,13
355,2020/10/24-18,12
356,2020/10/24-19,4
357,2020/10/24-20,8
358,2020/10/24-21,8
359,2020/10/24-22,21
360,2020/10/25-1,7
361,2020/10/25-2,2
362,2020/10/25-3,2
363,2020/10/25-5,1
364,2020/10/25-7,4
365,2020/10/25-8,3
366,2020/10/25-9,11
367,2020/10/25-10,28
368,2020/10/25-11,11
369,2020/10/25-12,18
370,2020/10/25-13,24
371,2020/10/25-14,18
372,2020/10/25-15,12
373,2020/10/25-16,4
374,2020/10/25-17,12
375,2020/10/25-18,21
376,2020/10/25-19,25
377,2020/10/25-20,19
378,2020/10/25-21,10
379,2020/10/25-22,3
380,2020/10/25-23,4
381,2020/10/26-0,1
382,2020/10/26-1,11
383,2020/10/26-4,1
384,2020/10/26-5,1
385,2020/10/26-6,1
386,2020/10/26-7,3
387,2020/10/26-9,7
388,2020/10/26-10,13
389,2020/10/26-11,19
390,2020/10/26-12,3
391,2020/10/26-13,7
392,2020/10/26-14,14
393,2020/10/26-15,18
394,2020/10/26-16,19
395,2020/10/26-17,9
396,2020/10/26-18,44
397,2020/10/26-19,10
398,2020/10/26-20,13
399,2020/10/26-21,9
400,2020/10/26-22,50
401,2020/10/26-23,1
402,2020/10/27-0,7
403,2020/10/27-1,2
404,2020/10/27-2,1
405,2020/10/27-3,3
406,2020/10/27-4,5
407,2020/10/27-5,3
408,2020/10/27-6,8
409,2020/10/27-7,1
410,2020/10/27-8,37
411,2020/10/27-9,4
412,2020/10/27-10,6
413,2020/10/27-11,17
414,2020/10/27-12,12
415,2020/10/27-13,32
416,2020/10/27-14,7
417,2020/10/27-15,71
418,2020/10/27-16,5
419,2020/10/27-17,14
420,2020/10/27-18,52
421,2020/10/27-19,53
422,2020/10/27-20,29
423,2020/10/27-21,3
424,2020/10/27-22,10
425,2020/10/27-23,3
426,2020/10/28-0,52
427,2020/10/28-1,1
428,2020/10/28-2,1
429,2020/10/28-4,3
430,2020/10/28-5,2
431,2020/10/28-6,1
432,2020/10/28-7,4
433,2020/10/28-8,2
434,2020/10/28-9,18
435,2020/10/28-10,8
436,2020/10/28-11,17
437,2020/10/28-12,20
438,2020/10/28-13,111
439,2020/10/28-14,14
440,2020/10/28-15,66
441,2020/10/28-16,2
442,2020/10/28-17,7
443,2020/10/28-18,59
444,2020/10/28-19,71
445,2020/10/28-20,61
446,2020/10/28-21,34
447,2020/10/28-22,5
448,2020/10/28-23,12
449,2020/10/29-0,4
450,2020/10/29-1,7
451,2020/10/29-2,4
452,2020/10/29-3,5
453,2020/10/29-4,2
454,2020/10/29-5,2
455,2020/10/29-6,4
456,2020/10/29-7,4
457,2020/10/29-8,6
458,2020/10/29-9,12
459,2020/10/29-10,11
460,2020/10/29-11,7
461,2020/10/29-12,65
462,2020/10/29-13,12
463,2020/10/29-14,19
464,2020/10/29-15,7
465,2020/10/29-16,12
466,2020/10/29-17,9
467,2020/10/29-18,8
468,2020/10/29-19,5
469,2020/10/29-20,10
470,2020/10/29-21,3
471,2020/10/29-22,25
472,2020/10/29-23,12
473,2020/10/3-1,2
474,2020/10/3-4,1
475,2020/10/3-5,16
476,2020/10/3-6,7
477,2020/10/3-7,2
478,2020/10/3-8,6
479,2020/10/3-9,7
480,2020/10/3-10,9
481,2020/10/3-11,22
482,2020/10/3-12,13
483,2020/10/3-13,4
484,2020/10/3-14,11
485,2020/10/3-15,20
486,2020/10/3-16,8
487,2020/10/3-17,12
488,2020/10/3-18,7
489,2020/10/3-19,11
490,2020/10/3-20,32
491,2020/10/3-21,15
492,2020/10/3-22,4
493,2020/10/3-23,3
494,2020/10/30-0,9
495,2020/10/30-1,6
496,2020/10/30-2,6
497,2020/10/30-4,6
498,2020/10/30-5,2
499,2020/10/30-6,6
500,2020/10/30-7,10
501,2020/10/30-8,4
502,2020/10/30-9,15
503,2020/10/30-10,9
504,2020/10/30-11,70
505,2020/10/30-12,13
506,2020/10/30-13,6
507,2020/10/30-14,12
508,2020/10/30-15,9
509,2020/10/30-16,12
510,2020/10/30-17,58
511,2020/10/30-18,1
512,2020/10/30-19,18
513,2020/10/30-20,34
514,2020/10/30-21,7
515,2020/10/30-22,2
516,2020/10/30-23,21
517,2020/10/31-0,4
518,2020/10/31-1,6
519,2020/10/31-2,1
520,2020/10/31-3,3
521,2020/10/31-4,5
522,2020/10/31-5,2
523,2020/10/31-6,10
524,2020/10/31-7,10
525,2020/10/31-8,9
526,2020/10/31-9,3
527,2020/10/31-10,44
528,2020/10/31-11,31
529,2020/10/31-12,6
530,2020/10/31-13,29
531,2020/10/31-14,27
532,2020/10/31-15,12
533,2020/10/31-16,25
534,2020/10/31-17,7
535,2020/10/31-18,26
536,2020/10/31-19,14
537,2020/10/31-20,14
538,2020/10/31-21,16
539,2020/10/31-22,3
540,2020/10/31-23,8
541,2020/10/4-0,4
542,2020/10/4-1,2
543,2020/10/4-2,1
544,2020/10/4-3,4
545,2020/10/4-4,2
546,2020/10/4-8,2
547,2020/10/4-9,27
548,2020/10/4-10,23
549,2020/10/4-11,26
550,2020/10/4-12,15
551,2020/10/4-13,22
552,2020/10/4-14,14
553,2020/10/4-15,9
554,2020/10/4-16,11
555,2020/10/4-17,8
556,2020/10/4-18,18
557,2020/10/4-19,15
558,2020/10/4-20,14
559,2020/10/4-21,1
560,2020/10/4-22,1
561,2020/10/4-23,3
562,2020/10/5-0,1
563,2020/10/5-1,2
564,2020/10/5-2,1
565,2020/10/5-3,1
566,2020/10/5-4,2
567,2020/10/5-5,3
568,2020/10/5-6,1
569,2020/10/5-8,2
570,2020/10/5-9,6
571,2020/10/5-10,5
572,2020/10/5-11,7
573,2020/10/5-12,6
574,2020/10/5-13,2
575,2020/10/5-14,9
576,2020/10/5-15,10
577,2020/10/5-16,19
578,2020/10/5-17,55
579,2020/10/5-18,23
580,2020/10/5-19,15
581,2020/10/5-20,17
582,2020/10/5-21,5
583,2020/10/5-22,3
584,2020/10/5-23,1
585,2020/10/6-0,1
586,2020/10/6-1,1
587,2020/10/6-2,1
588,2020/10/6-3,1
589,2020/10/6-4,4
590,2020/10/6-6,1
591,2020/10/6-7,1
592,2020/10/6-8,6
593,2020/10/6-9,3
594,2020/10/6-10,8
595,2020/10/6-11,4
596,2020/10/6-12,22
597,2020/10/6-13,11
598,2020/10/6-14,3
599,2020/10/6-15,7
600,2020/10/6-16,16
601,2020/10/6-17,32
602,2020/10/6-18,12
603,2020/10/6-19,28
604,2020/10/6-20,3
605,2020/10/6-21,10
606,2020/10/6-22,4
607,2020/10/6-23,3
608,2020/10/7-0,1
609,2020/10/7-1,3
610,2020/10/7-5,5
611,2020/10/7-6,3
612,2020/10/7-7,4
613,2020/10/7-8,3
614,2020/10/7-9,4
615,2020/10/7-10,17
616,2020/10/7-11,7
617,2020/10/7-12,6
618,2020/10/7-13,9
619,2020/10/7-14,16
620,2020/10/7-15,16
621,2020/10/7-16,30
622,2020/10/7-17,10
623,2020/10/7-18,10
624,2020/10/7-19,43
625,2020/10/7-20,15
626,2020/10/7-21,39
627,2020/10/7-22,2
628,2020/10/7-23,1
629,2020/10/8-0,1
630,2020/10/8-2,1
631,2020/10/8-3,1
632,2020/10/8-6,8
633,2020/10/8-7,3
634,2020/10/8-8,10
635,2020/10/8-9,6
636,2020/10/8-10,10
637,2020/10/8-11,44
638,2020/10/8-12,28
639,2020/10/8-13,8
640,2020/10/8-14,10
641,2020/10/8-15,4
642,2020/10/8-16,15
643,2020/10/8-17,19
644,2020/10/8-18,35
645,2020/10/8-19,14
646,2020/10/8-20,29
647,2020/10/8-21,2
